N,R_m,R_over_lP,R_over_c_s,t_coh_s,beta,degeneracy,omega_rad_s,nu_Hz,epsilon0_J,shell_zero_point_J,bare_cutoff_M,bare_cutoff_energy_J,scalar_Casimir_energy_J,scalar_Casimir_density_J_m3,scalar_Casimir_pressure_Pa,mode_temperature_K,equal_thermal_zero_temperature_K,mean_Planck_energy_at_theta_J,theta,single_mode_compactness,scalar_Casimir_compactness,epsilon0_R_over_c_Js,scalar_Casimir_R_over_c_Js,rho_R4_Jm
69,4.252624713144516e-21,263115950957275.7,1.4185229146573514e-29,4.456421167636317e-29,1,1,7.049586507677622e+28,1.121976539450825e+28,3.717147626250137e-06,3.717147626250137e-06,24,0.3345432863625123,3.097623021875115e-08,2.0404579364841708e+52,6.801526454947236e+51,5.3846381321395034e+17,4.90130884906404e+17,7.434295252500274e-06,0.9102392266268373,1.444460417888048e-29,1.2037170149067068e-31,5.272859085e-35,4.3940492375000005e-37,6.673534054403202e-30
70,6.880891327265595e-21,425730551631122.2,2.2952182897361597e-29,7.210640917420049e-29,1,1,4.356884068377445e+28,6.934196359605976e+27,2.297323574223577e-06,2.297323574223577e-06,24,0.20675912168012195,1.914436311852981e-08,2.9769880088326727e+51,9.923293362775576e+50,3.327889382780963e+17,3.029175458082207e+17,4.594647148447154e-06,0.9102392266268373,5.517347842293584e-30,4.597789868577987e-32,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
71,1.1133516040410183e-20,688846502588402.4,3.713741204393535e-29,1.166706208505644e-28,1,1,2.6927024393001637e+28,4.285569034902253e+27,1.419824052026553e-06,1.419824052026553e-06,24,0.12778416468238976,1.1831867100221273e-08,4.343366969869419e+50,1.4477889899564732e+50,2.0567487493585306e+17,1.8721333909818237e+17,2.839648104053106e-06,0.9102392266268373,2.1074393480002263e-30,1.7561994566668554e-32,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
72,1.8014407367675814e-20,1114577054219526.8,6.008959494129706e-29,1.8877703002476528e-28,1,1,1.6641816290772527e+28,2.648627324703678e+27,8.774995221970092e-07,8.774995221970092e-07,24,0.07897495699773083,7.31249601830841e-09,6.336887007600154e+49,2.1122956692000513e+49,1.271140633422411e+17,1.1570420671003635e+17,1.7549990443940184e-06,0.9102392266268373,8.049702017071696e-31,6.708085014226413e-33,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
73,2.914792340808597e-20,1803423556807927.8,9.722700698523234e-29,3.054476508753294e-28,1,1,1.028520810222913e+28,1.6369417101985782e+27,5.423245298295448e-07,5.423245298295448e-07,24,0.04880920768465903,4.5193710819128735e-09,9.24539354506785e+48,3.08179784835595e+48,7.85608115936121e+16,7.150913238814615e+16,1.0846490596590896e-06,0.9102392266268373,3.0747125712128057e-31,2.5622604760106714e-33,5.272859085e-35,4.3940492375e-37,6.6735340544032e-30
74,4.7162330775761756e-20,2918000611027452.5,1.5731660192652932e-28,4.942246809000943e-28,1,1,6.356608188543409e+27,1.0116856145051021e+27,3.3517499236746503e-07,3.3517499236746503e-07,24,0.030165749313071855,2.793124936395542e-09,1.3488847394732599e+48,4.496282464910867e+47,4.855325174862909e+16,4.419507432189028e+16,6.703499847349301e-07,0.9102392266268373,1.174435696566711e-31,9.786964138055924e-34,5.272859085e-35,4.3940492375e-37,6.6735340544032e-30
75,7.631025418384768e-20,4721424167835377.0,2.545436089117615e-28,7.996723317754233e-28,1,1,3.928599913685728e+27,6.25256095693477e+26,2.0714953746208007e-07,2.071495374620801e-07,24,0.018643458371587207,1.7262461455173339e-09,1.9679963124495556e+47,6.559987708165185e+46,3.0007559844983056e+16,2.7314058066255916e+16,4.1429907492416014e-07,0.9102392266268373,4.485945184873259e-32,3.738287654061049e-34,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
76,1.2347258495960935e-19,7639424778862825.0,4.1186021083829055e-28,1.2938970126755168e-27,1,1,2.4280082748576845e+27,3.864295188116258e+26,1.280254549053852e-07,1.280254549053852e-07,24,0.011522290941484667,1.06687879087821e-09,2.8712679241426217e+46,9.570893080475406e+45,1.8545691903646064e+16,1.6881016255634394e+16,2.560509098107704e-07,0.9102392266268373,1.7134785889526558e-32,1.4278988241272132e-34,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
77,1.9978283914345687e-19,1.2360848946698192e+16,6.664038197500514e-28,2.0935693444509384e-27,1,1,1.5005916388280467e+27,2.3882657688185174e+26,7.912408255669505e-08,7.912408255669505e-08,24,0.0071211674301025546,6.593673546391255e-10,4.1891234450275955e+45,1.3963744816758651e+45,1.1461867941337016e+16,1.0433041810621544e+16,1.582481651133901e-07,0.9102392266268373,6.544905819847053e-33,5.454088183205878e-35,5.272859085e-35,4.3940492375000005e-37,6.673534054403201e-30
78,3.2325542410306595e-19,2.0000273725561e+16,1.078264030588341e-27,3.387466357126453e-27,1,1,9.274166360296398e+26,1.4760294192977435e+26,4.8901372348690247e-08,4.8901372348690247e-08,24,0.004401123511382122,4.075114362390854e-10,6.111848737668752e+44,2.0372829125562508e+44,7083823962309065.0,6447974445012862.0,9.780274469738049e-08,0.9102392266268373,2.499931570014581e-33,2.0832763083454843e-35,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
