id,lambda,branch,alpha0,beta_plus0,beta_minus0,p_plus0,p_minus0,p_alpha0,momentum_rescale,tau_end,t_end,alpha_min,alpha_max,shear_max,shear_end,beta_max,wall_bounces,lyapunov_tau_bounded_only,recurrence,peaks_beta_plus,constraint_residual,steps,stop_reason,class
36,0.08,expanding,0.185119197,0.064594561,-0.064594561,-41.488080,5.285010,-34.393772,1.000000,0.033047471,4.138568166e+1,0.185119197,6.187105172,1.136736e+1,6.079688e-10,0.439120905,4,,1.000000000,0,2.602373e-13,2635,de Sitter escape,transient
37,0.08,expanding,0.864509097,-0.408581119,0.408581119,26.450910,-33.429364,-210.172920,1.000000,0.002595915,3.571788922e+1,0.864509097,6.867544613,8.216564e-1,1.071395e-10,0.577820960,0,,1.000000000,0,2.644392e-13,1797,de Sitter escape,transient
38,0.08,expanding,0.643898996,0.218243201,-0.218243201,4.389900,17.856262,-86.342223,1.000000,0.006530946,3.736833468e+1,0.643898996,6.644568041,1.232282e+0,7.510831e-11,0.308642495,2,,1.000000000,0,2.636213e-13,1780,de Sitter escape,transient
39,0.08,expanding,0.423288896,-0.254932479,0.254932479,-17.671110,-20.858112,-32.221999,1.000000,0.020026568,4.137743554e+1,0.423288896,6.426010355,4.695515e+0,1.458248e-10,0.360528969,4,,1.000000000,0,2.663084e-13,2127,de Sitter escape,transient
40,0.08,expanding,0.202678795,0.371891841,-0.371891841,-39.732120,30.427514,-122.057361,1.000000,0.007800029,3.366415988e+1,0.202678795,6.203920874,1.139721e+0,3.516903e-10,0.525934486,2,,1.000000000,0,2.610040e-13,1801,de Sitter escape,transient
41,0.08,expanding,0.882068695,-0.101283839,0.101283839,53.881448,-15.829761,-12.254818,1.910224,0.010981276,4.286971576e+1,0.882068695,6.882868818,2.472646e+1,3.289571e-12,0.217622799,2,,1.000000000,0,2.627659e-13,2001,de Sitter escape,transient
42,0.08,expanding,0.661458595,0.525540481,-0.525540481,6.145859,42.998767,-700.362952,1.000000,0.001203480,3.143716184e+1,0.661458595,6.663858446,9.397682e-1,2.834816e-10,0.743226476,4,,1.000000000,0,2.592294e-13,1553,de Sitter escape,transient
43,0.08,contracting,0.829389900,0.076824320,-0.076824320,54.666629,14.979473,12.368980,2.383131,0.287427189,1.078347427e+1,-8.172357800,0.829389900,8.943219e+3,9.781262e-1,8.576753319,4,,0.334236085,0,4.637140e-12,4596,collapse,singular
44,0.08,contracting,0.608779799,-0.396351360,0.396351360,0.877980,-32.428748,115.821751,1.000000,0.345903405,8.129373114e-1,-8.394429740,0.608779799,1.057496e+0,9.996077e-1,5.306013149,3,,0.224036874,0,5.088831e-12,1374,collapse,singular
45,0.08,contracting,0.388169699,0.230472960,-0.230472960,-21.183030,18.856879,61.744585,1.000000,0.158679614,6.927169891e-1,-8.613613207,0.388169699,1.147907e+0,9.952277e-1,8.605962090,1,,1.000000000,0,6.033701e-13,713,collapse,singular
